ninodes       = 32768
nzones        = 16384
imap_blocks   = 2
zmap_blocks   = 1
firstdatazone = 517
log_zone_size = 0
maxsize       = 2147483647
block size    = 4096


 inode permission link   size name
     1 drwxr-xr-x  14    1088 /
     2 drwxr-xr-x   2     128 /usr
   539 drwxr-xr-x   2     192 /sample
   542 -rw-r--r--   1 4489799 /sample/europarl-en.txt
     6 drwxr-xr-x   2    2880 /bin
     7 -rwxr-xr-x   2     480 /bin/M
     7 -rwxr-xr-x   2     480 /bin/U
     8 -rwxr-xr-x  12     181 /bin/[
     9 -rwxr-xr-x   1   18084 /bin/cat
     8 -rwxr-xr-x  12     181 /bin/cd
    10 -rwxr-xr-x   1   28480 /bin/chroot
    11 -rwxr-xr-x   6   42364 /bin/clone
     8 -rwxr-xr-x  12     181 /bin/command
    11 -rwxr-xr-x   6   42364 /bin/cp
    11 -rwxr-xr-x   6   42364 /bin/cpdir
    12 -rwxr-xr-x   1   68960 /bin/date
    13 -rwxr-xr-x   1   29756 /bin/dev2name
     8 -rwxr-xr-x  12     181 /bin/echo
     8 -rwxr-xr-x  12     181 /bin/expr
     8 -rwxr-xr-x  12     181 /bin/false
     8 -rwxr-xr-x  12     181 /bin/getopts
    14 -rwxr-xr-x   1   27836 /bin/getty
    15 -rwxr--r--   2   17308 /bin/halt
    16 -rwsr-xr-x   1   40452 /bin/install
    17 -rwxr-xr-x   1   21832 /bin/intr
    11 -rwxr-xr-x   6   42364 /bin/ln
    18 -rwxr-xr-x   1   17760 /bin/loadkeys
    19 -rwxr-xr-x   1   59864 /bin/ls
    20 -rwsr-xr-x   1   34356 /bin/mount
    11 -rwxr-xr-x   6   42364 /bin/mv
    21 -rwxr-xr-x   1    9517 /bin/netconf
    22 -rwxr-xr-x   1   27256 /bin/printroot
    23 -rwxr-xr-x   1   24652 /bin/pwd
     8 -rwxr-xr-x  12     181 /bin/read
    24 -rwxr-xr-x   1     127 /bin/readclock
    15 -rwxr--r--   2   17308 /bin/reboot
    11 -rwxr-xr-x   6   42364 /bin/rm
    25 -rwxr-xr-x   1   73616 /bin/sed
    26 -rwxr-xr-x   1   52504 /bin/service
    27 -rwxr-xr-x   1   15811 /bin/setup
    28 -rwxr-xr-x   1  174316 /bin/sh
    29 -rwxr-xr-x   1   14088 /bin/sync
    30 -rwxr-xr-x   1   17280 /bin/sysenv
     8 -rwxr-xr-x  12     181 /bin/test
     8 -rwxr-xr-x  12     181 /bin/true
     8 -rwxr-xr-x  12     181 /bin/umask
    31 -rwsr-xr-x   1   33040 /bin/umount
     8 -rwxr-xr-x  12     181 /bin/wait
    32 drwxr-xr-x   3     384 /boot
    33 -rwxr-xr-x   1   32224 /boot/boot
    34 drwxr-xr-x   2     192 /boot/image
    35 -rw-------   2 2705920 /boot/image/3.1.8
    36 -rw-------   1 2705920 /boot/image_big
    35 -rw-------   2 2705920 /boot/image_latest
    37 drwxr-xr-x   2   29120 /dev
    38 brw-------   1    1, 4 /dev/boot
    39 brw-------   1    3, 0 /dev/c0d0
    40 brw-------   1    3, 1 /dev/c0d0p0
    41 brw-------   1    3,80 /dev/c0d0p0s0
    42 brw-------   1    3,81 /dev/c0d0p0s1
    43 brw-------   1    3,82 /dev/c0d0p0s2
    44 brw-------   1    3,83 /dev/c0d0p0s3
    45 brw-------   1    3, 2 /dev/c0d0p1
